ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,usabilityRating,ownerName,kernelCount,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-05-30T06:20:41.275630
muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,Ai Impact in future on jobs market in 2030,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,2026-05-30T06:20:41.275645
algozee/teenager-menthal-healy,Social Media Impact on Teen Mental Health,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/algozee/teenager-menthal-healy,2026-05-30T06:20:41.275649
shyamnadhs/heart-disease-prediction-dataset,Heart disease prediction dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/shyamnadhs/heart-disease-prediction-dataset,2026-05-30T06:20:41.275652
emirhanakku/e-commerce-order-risk-classification-dataset,E-Commerce Order Risk Classification Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/emirhanakku/e-commerce-order-risk-classification-dataset,2026-05-30T06:20:41.275655
shambhurajejagadale/student-performance-prediction-dataset,Student Performance Prediction Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/shambhurajejagadale/student-performance-prediction-dataset,2026-05-30T06:20:41.275658
sanyamdhadiwal2302/netflix-data,Netflix Data,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/sanyamdhadiwal2302/netflix-data,2026-05-30T06:20:41.275661
noopurbhatt/retail-store-sales-forecasting-dataset,Retail Store Sales Forecasting Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/noopurbhatt/retail-store-sales-forecasting-dataset,2026-05-30T06:20:41.275664
aryanmdev/world-gym-and-fitness-trends-20002026,World Gym & Fitness Trends (2000–2026),N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/aryanmdev/world-gym-and-fitness-trends-20002026,2026-05-30T06:20:41.275678
shambhurajejagadale/student-placement-and-career-success-dataset-2026,Student Placement & Career Success Dataset 2026,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/shambhurajejagadale/student-placement-and-career-success-dataset-2026,2026-05-30T06:20:41.275681
amith1707/covid-epidemic-dataset,Covid Epidemic Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/amith1707/covid-epidemic-dataset,2026-05-30T06:20:41.275684
tuckerarrants/bc2026-distilled-sed-public,BC2026-Distilled-SED-Public,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/tuckerarrants/bc2026-distilled-sed-public,2026-05-30T06:20:41.275687
rauffauzanrambe/fifa-world-cup-2026-prediction-system,🏆 FIFA World Cup 2026 Prediction System,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-prediction-system,2026-05-30T06:20:41.275692
sohaibdevv/hiit-vs-hypertrophy-gains-dataset,HIIT vs Hypertrophy Workout Gains Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/sohaibdevv/hiit-vs-hypertrophy-gains-dataset,2026-05-30T06:20:41.275695
jaspreetsingh9652/delhi-air-quality-time-series-data-2025-to-2026-05,Delhi Air Quality Time Series Data 2025 to 2026-05,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/jaspreetsingh9652/delhi-air-quality-time-series-data-2025-to-2026-05,2026-05-30T06:20:41.275698
jawadaahmed/iphone-sales-analytics-dataset,iPhone Sales Analytics Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/jawadaahmed/iphone-sales-analytics-dataset,2026-05-30T06:20:41.275701
abdulmaliklodhra/social-media-addiction-and-mental-health-dataset,Social Media Addiction & Mental Health Dataset,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/abdulmaliklodhra/social-media-addiction-and-mental-health-dataset,2026-05-30T06:20:41.275704
elvisbui/renewable-energy-share-by-country-2000-2025,Renewable Energy Share by Country 2000-2025,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/elvisbui/renewable-energy-share-by-country-2000-2025,2026-05-30T06:20:41.275708
aiexplorer77/gaming-vs-academic-performance,Gaming vs Academic Performance,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/aiexplorer77/gaming-vs-academic-performance,2026-05-30T06:20:41.275711
newnguyn/steam-game-clean,Steam_Game_MetaData,N/A,N/A,0,0,0,0.0,N/A,0,https://www.kaggle.com/datasets/newnguyn/steam-game-clean,2026-05-30T06:20:41.275714
