ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,11295,268,44375,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-13T03:44:51.114030
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,1720,33,5682,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-13T03:44:51.114081
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,988,26,3241,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-13T03:44:51.114125
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1045,34,3971,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-13T03:44:51.114165
arjunmehta1992/chocolate-sales-in-20222023,Chocolate Sales in 2022–2023,4.6 MB,2026-06-21T03:52:16.000Z,3790,52,11269,Arjun Mehta,https://www.kaggle.com/datasets/arjunmehta1992/chocolate-sales-in-20222023,2026-07-13T03:44:51.114206
mann14/2026-fifa-world-cup,2026 FIFA World Cup,2.8 KB,2026-07-12T14:12:19.273Z,599,21,2660,Mann Raval,https://www.kaggle.com/datasets/mann14/2026-fifa-world-cup,2026-07-13T03:44:51.114246
mirzayasirabdullah07/netflix-dataset,Netflix Dataset,1.9 KB,2026-06-23T11:32:10.000Z,1284,36,5169,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/netflix-dataset,2026-07-13T03:44:51.114286
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,4138,84,14285,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-13T03:44:51.114325
uditjain13/nvidia-gpu-sales-synthetic-2026,Nvidia GPU Sales Data 2026,179.0 KB,2026-07-05T19:39:05.353Z,745,34,3170,Udit Jain,https://www.kaggle.com/datasets/uditjain13/nvidia-gpu-sales-synthetic-2026,2026-07-13T03:44:51.114365
uditjain13/music-streaming-habits-2026,Music Streaming Habits 2026,70.0 KB,2026-06-13T08:31:42.173Z,926,35,3411,Udit Jain,https://www.kaggle.com/datasets/uditjain13/music-streaming-habits-2026,2026-07-13T03:44:51.114404
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,588,22,1670,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-13T03:44:51.114443
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,22879,520,88870,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-07-13T03:44:51.114482
dreamtensor/gaming-addiction-and-mental-health-analysis,Gaming Addiction and Mental Health Analysis,18.4 KB,2026-06-20T17:46:38.000Z,600,23,2306,Mubeen,https://www.kaggle.com/datasets/dreamtensor/gaming-addiction-and-mental-health-analysis,2026-07-13T03:44:51.114517
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,357172,3889,1496247,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-13T03:44:51.114539
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,67356,1496,496807,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-13T03:44:51.114574
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,58101,992,348788,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-07-13T03:44:51.114604
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,28526,412,148339,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-07-13T03:44:51.114631
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,27871,519,152753,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-07-13T03:44:51.114656
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,309529,5957,2200815,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-13T03:44:51.114693
kaggle/pokemon-tcg-ai-battle-episodes-2026-07-07,The Pokémon Company - PTCG AI Battle Challenge Simulation Episodes 2026-07-07,709.1 MB,2026-07-08T00:14:29.387Z,49664,23,1324,Kaggle,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-07,2026-07-13T03:44:51.114709
